Employee_ID,Age,Gender,Department,Job_Role,Education,Marital_Status,Monthly_Income,Salary_Band,Tenure_Years,Tenure_Band,Job_Satisfaction,Work_Life_Balance,Overtime,Distance_From_Home,Performance_Rating,Training_Times_Last_Year,Promotion_Last_2_Years,Attrition,Attrition_Flag
E0001,33,Male,Finance,Financial Analyst,Doctorate,Married,43473,Medium,0,0-1 Year,1,4,Yes,2,3,1,No,No,0
E0002,21,Male,Research & Development,Product Analyst,Bachelor,Single,45185,Medium,0,0-1 Year,3,3,No,5,3,6,No,Yes,1
E0003,32,Male,Finance,Financial Analyst,College,Single,68464,Medium,18,8+ Years,3,3,No,19,3,0,Yes,Yes,1
E0004,32,Female,Customer Support,Team Lead,Master,Married,53703,Medium,2,2-3 Years,2,3,No,23,4,5,Yes,Yes,1
E0005,27,Female,Research & Development,Lab Technician,Master,Married,43981,Medium,7,4-7 Years,1,3,Yes,13,3,1,No,Yes,1
E0006,36,Male,Research & Development,Product Analyst,College,Single,80244,High,6,4-7 Years,4,4,No,12,3,1,No,Yes,1
E0007,27,Female,Customer Support,Team Lead,Bachelor,Married,37542,Medium,4,4-7 Years,3,1,No,22,4,5,No,No,0
E0008,46,Female,Research & Development,Product Analyst,Doctorate,Single,73366,High,6,4-7 Years,2,1,No,28,3,6,No,No,0
E0009,26,Female,IT,Software Engineer,Below College,Single,56779,Medium,0,0-1 Year,3,2,No,2,3,4,No,No,0
E0010,40,Female,IT,System Admin,Bachelor,Single,91471,High,3,2-3 Years,4,2,Yes,30,3,5,No,No,0
E0011,38,Male,Research & Development,Product Analyst,Doctorate,Single,74135,High,2,2-3 Years,2,2,No,1,3,5,Yes,No,0
E0012,34,Male,Research & Development,Product Analyst,Master,Married,94416,High,13,8+ Years,4,2,No,26,3,3,Yes,No,0
E0013,23,Male,Customer Support,Support Executive,Below College,Single,18000,Low,0,0-1 Year,1,2,No,7,3,3,No,Yes,1
E0014,60,Female,Research & Development,Research Scientist,Master,Single,98845,High,9,8+ Years,2,2,No,14,3,1,No,Yes,1
E0015,31,Male,Research & Development,Product Analyst,Doctorate,Married,98956,High,6,4-7 Years,4,2,No,7,3,0,No,Yes,1
E0016,42,Female,Research & Development,Lab Technician,Doctorate,Married,85431,High,9,8+ Years,1,2,Yes,13,3,4,No,No,0
E0017,38,Female,Finance,Finance Manager,Doctorate,Single,61647,Medium,6,4-7 Years,4,2,Yes,22,3,3,No,No,0
E0018,24,Male,IT,Software Engineer,Doctorate,Single,64547,Medium,0,0-1 Year,2,3,No,10,3,6,No,No,0
E0019,37,Male,Sales,Account Manager,Master,Married,60550,Medium,10,8+ Years,1,2,Yes,9,3,1,No,Yes,1
E0020,41,Female,Research & Development,Research Scientist,College,Married,73785,High,1,0-1 Year,2,3,Yes,6,4,4,No,Yes,1
E0021,30,Male,Human Resources,HR Manager,Master,Married,38700,Medium,0,0-1 Year,1,3,No,7,3,5,No,No,0
